name,country,source,website,email,phone,address,industry,sub_industry,contact_person,contact_title,products_services,tender_categories,source_url,notes
2rt Business Systems Solutions,Jamaica,JMEA,,2rtbssja@gmail.com,8762815935,,Mineral and Metal,,,,Accounting packages & Point-Of Sales (PSS Pro Series),,https://jmea.org/listing/2rt-business-systems-solutions/,
A Taste Of the Caribbean,Jamaica,JMEA,,dunstansonya@gmail.com,8765356500,,Food and Tobacco,,,,"Manufacturers of Assorted Jam, Jellies, Sauces, Jerk Season, Curry Powder",,https://jmea.org/listing/a-taste-of-the-caribbean/,
A.D. Steinhol Industries Limited,Jamaica,JMEA,,customerservice@adsteinhol.com,8769237110,,Chemicals and Pharmaceuticals,,,,"Industrial, Consumer, and Artisan Adhesives",,https://jmea.org/listing/a-d-steinhol-industries-limited/,
Achievers’s Sports & Trophies,Jamaica,JMEA,,achieverstro@yahoo.com,8767953806,,Jewellery and Other Manufacturing,,,,"Wooden And Glass-Based Engravements, Plaques, Trophies",,https://jmea.org/listing/achieverss-sports-trophies/,
Active Home Centre,Jamaica,JMEA,,active@cwjamaica.com,8767550027,,Mineral and Metal,,,,Granite Countertops,,https://jmea.org/listing/active-home-centre/,
Advanced Integrated Systems Limited,Jamaica,JMEA,,stacey.peart@aiswebnet.com,8768194002,,"Mineral and Metal, Professional Services",,,,Provides Mobile Services And Health Care Processing Services As Well As Office Products,,https://jmea.org/listing/advanced-integrated-systems-limited/,
African Brewery,Jamaica,JMEA,,lloydmcfarlane16@gmail.com,8765029159,,"Beverages, Mineral and Metal",,,,"Manufactures Roots Wine, Dalla Stout, Sorrel Wine, Fruit Wine",,https://jmea.org/listing/african-brewery/,
Agri & Industrial Packaging Ltd,Jamaica,JMEA,,vscully@agoinvest.gov.jm,8767648071,,Food and Tobacco,,,,"Manufactures Agricultural Crops, Agro Processing Products",,https://jmea.org/listing/agri-industrial-packaging-ltd/,
AIG Industrial Gas Distributors Ltd,Jamaica,JMEA,,gord.r@aiggas.com,8764060430,,"Electricity, Gas, and Petroleum",,,,"Provides Third Party Logistics Services, Transport Service, Human Capital, Business Consulting",,https://jmea.org/listing/aig-industrial-gas-distributors-ltd/,
Air Watt Manufacturing Company Limited,Jamaica,JMEA,,dawnhyde@cwjamaica.com,8769237570,,Chemicals and Pharmaceuticals,,,,Provides Mops And Industrial Cleaning Products,,https://jmea.org/listing/air-watt-manufacturing-company-limited/,
Airport Authority of Jamaica,Jamaica,JMEA,,amcdonald@aaj.com.jm,8769248452,,Professional Services,,,,Provides Airport Management Services,,https://jmea.org/listing/airport-authority-of-jamaica/,
Akuton Solutions Company Limited,Jamaica,JMEA,,info@akutonsolutions.com,8765173108,,Professional Services,,,,"Provides Software Development, Mobile Application Development And Web Development",,https://jmea.org/listing/akuton-solutions-company-limited/,
All Natural Caribbean Spice,Jamaica,JMEA,,allnaturalcaribbeanspice@gmail.com,8765173108,,Food and Tobacco,,,,"Manufactures Dried Spices & Seasonings for Meat, Chicken, Fish, All-Purpose and Curry Powder",,https://jmea.org/listing/all-natural-caribbean-spice/,
Allied Insurance Brokers Limited.,Jamaica,JMEA,,amanda.beepat@company.com,8769266820,,Professional Services,,,,Provides Insurance Services,,https://jmea.org/listing/provides-insurance-services/,
Amethyst Concepts Limited,Jamaica,JMEA,,info@wassicurls.com,8769099644,,Chemicals and Pharmaceuticals,,,,Provides Haircare And Beauty Care Products,,https://jmea.org/listing/amethyst-concepts-limited/,
AMG Packaging & Paper Company Limited,Jamaica,JMEA,,info@amgpackaging.com,8769680580,,"Packaging, Paper and Printing",,,,Provides Corrugated Cartons And Board Boxes,,https://jmea.org/listing/amg-packaging-paper-company-limited/,
Anchor Group,Jamaica,JMEA,,dhowell@anchorgroupcorp.com,8763487679,,Professional Services,,,,"Provides Health Care Services, Learning Management Solutions, Document Management Solutions, E-commerce And Point-Of-Scale Solutions And Human Resources And Business Process Management Software",,https://jmea.org/listing/anchor-group/,
Angel’s Designs,Jamaica,JMEA,,angels1designs@gmail.com,8768269843,,"Textile, Apparel and Leather",,,,"Provides Chef Attire – Jacket, pants, hat, apron, scarf, napkins, table cloths, etc./ Lab coat, overall, industrial shirt & pants/ Housekeeping dress, shirt & Apron/ Sheet sets, drapes, curtains, valance",,https://jmea.org/listing/angels-designs/,
Annilu Limited,Jamaica,JMEA,,annilumixes@gmail.com,8768578247,,Food and Tobacco,,,,Manufactures Jamaican Fruitcake And Jamaican Sweet Potato,,https://jmea.org/listing/annilu-limited/,
